Order ID,Order Date,Customer ID,Category,Sub-Category,Price,Quantity,Discount,Sales,Profit,Region,City,Payment Mode
ORD1,2023-12-27,CUST5770,Sports,Fitness,7436,1,0.19,6023.16,956.66,East,Mumbai,Credit Card
ORD2,2024-02-09,CUST9316,Home,Decor,533,4,0.22,1662.96,207.73,East,Jaipur,Cash
ORD3,2023-02-21,CUST9170,Clothing,Jeans,3800,4,0.17,12616.0,2481.56,East,Bangalore,Cash
ORD4,2024-12-09,CUST8622,Clothing,Jeans,3742,5,0.3,13097.0,915.63,East,Jaipur,Cash
ORD5,2024-07-18,CUST4310,Electronics,Laptop,1475,4,0.04,5664.0,540.53,North,Delhi,Debit Card
ORD6,2024-03-10,CUST1918,Clothing,T-shirt,2878,2,0.12,5065.28,845.63,North,Delhi,Credit Card
ORD7,2024-01-02,CUST6884,Clothing,Jeans,4956,3,0.2,11894.4,1077.33,North,Chennai,Debit Card
ORD8,2024-05-13,CUST8048,Sports,Outdoor,4670,4,0.08,17185.6,5126.75,North,Mumbai,UPI
ORD9,2023-03-28,CUST9211,Sports,Equipment,5808,3,0.15,14810.4,3615.81,East,Mumbai,Credit Card
ORD10,2024-03-30,CUST1485,Clothing,Jacket,3638,2,0.29,5165.96,923.6,North,Bangalore,Debit Card
ORD11,2023-10-27,CUST2765,Clothing,T-shirt,709,3,0.31,1467.63,418.71,West,Chennai,Debit Card
ORD12,2024-10-23,CUST7187,Sports,Equipment,7231,1,0.1,6507.9,1178.04,West,Bangalore,Credit Card
ORD13,2023-03-01,CUST7799,Electronics,Laptop,7745,1,0.34,5111.7,819.6,South,Chennai,Debit Card
ORD14,2023-05-29,CUST8155,Home,Kitchen,8753,3,0.14,22582.74,5826.44,West,Kolkata,Cash
ORD15,2023-01-01,CUST6694,Clothing,Jeans,8479,2,0.12,14923.04,1540.55,East,Kolkata,UPI
ORD16,2023-03-17,CUST5658,Sports,Outdoor,2572,3,0.13,6712.92,1180.14,West,Kolkata,Debit Card
ORD17,2023-08-08,CUST9416,Clothing,Jacket,1325,2,0.14,2279.0,473.37,West,Jaipur,UPI
ORD18,2024-05-06,CUST8758,Sports,Fitness,149,1,0.23,114.73,33.21,North,Chennai,Credit Card
ORD19,2024-07-24,CUST3794,Sports,Fitness,2626,1,0.21,2074.54,511.46,South,Mumbai,Net Banking
ORD20,2023-01-09,CUST6739,Clothing,Jacket,4899,4,0.3,13717.2,3253.64,East,Bangalore,Debit Card
ORD21,2023-03-05,CUST4207,Home,Kitchen,4284,4,0.32,11652.48,2307.44,West,Mumbai,Cash
ORD22,2023-11-10,CUST8583,Sports,Shoes,1485,5,0.33,4974.75,1464.61,North,Delhi,Cash
ORD23,2023-04-06,CUST2937,Clothing,Jeans,7220,3,0.22,16894.8,1591.12,North,Mumbai,Credit Card
ORD24,2024-05-02,CUST8163,Sports,Outdoor,3217,1,0.19,2605.77,585.99,West,Kolkata,Cash
ORD25,2023-02-19,CUST4123,Sports,Fitness,6602,4,0.03,25615.76,2402.22,West,Kolkata,Credit Card
ORD26,2023-05-14,CUST5818,Clothing,Jeans,8191,4,0.19,26538.84,3143.78,East,Jaipur,Net Banking
ORD27,2024-06-01,CUST1912,Home,Decor,5569,5,0.35,18099.25,1126.08,South,Kolkata,Debit Card
ORD28,2024-09-05,CUST6245,Clothing,T-shirt,3881,5,0.06,18240.7,4880.05,South,Kolkata,Credit Card
ORD29,2023-03-29,CUST4430,Sports,Equipment,6792,3,0.01,20172.24,2166.37,East,Kolkata,Debit Card
ORD30,2024-02-09,CUST1858,Electronics,Mobile,196,2,0.14,337.12,93.61,South,Kolkata,Debit Card
